Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-17,17:14:55,531470496,181.194,2933157,1466578,94m,4,8,15g,2,8,4g,snappy,74k,66k,18k,20m,0.7,0.2,80m,org.apache.spark.serializer.JavaSerializer,114k,0.7,450,8,0.1,24m,0.4
ScalaSparkPagerank,2023-04-17,17:29:00,531470496,159.151,3339410,1669705,40m,8,3,11g,2,8,4g,snappy,2k,44k,40k,64m,0.5,0.2,34m,org.apache.spark.serializer.JavaSerializer,102k,0.2,650,8,0.8,62m,0.3
ScalaSparkPagerank,2023-04-17,17:44:12,531470496,192.234,2764706,1382353,34m,10,7,16g,2,8,4g,lzf,112k,32k,34k,16m,0.4,0.5,82m,org.apache.spark.serializer.KryoSerializer,114k,0.9,250,8,0.7,372m,0.5
ScalaSparkPagerank,2023-04-17,18:03:50,531470496,245.661,2163430,1081715,88m,6,1,15g,4,4,8g,lzf,82k,120k,100k,112m,0.2,0.9,20m,org.apache.spark.serializer.JavaSerializer,116k,0.7,600,8,0.5,2m,0.3
ScalaSparkPagerank,2023-04-17,18:18:08,531470496,207.051,2566857,1283428,28m,6,5,13g,2,8,4g,lzf,22k,26k,58k,28m,0.7,0.4,38m,org.apache.spark.serializer.KryoSerializer,22k,0.5,550,8,0.3,454m,0.6
ScalaSparkPagerank,2023-04-17,18:31:56,531470496,161.017,3300710,1650355,98m,10,7,11g,2,8,4g,lzf,86k,30k,18k,8m,0.7,0.7,2m,org.apache.spark.serializer.JavaSerializer,128k,0.2,650,8,0.7,392m,0.7
ScalaSparkPagerank,2023-04-17,19:17:43,531470496,229.038,2320446,1160223,40m,12,1,12g,2,8,4g,lzf,94k,48k,62k,112m,0.2,0.9,84m,org.apache.spark.serializer.JavaSerializer,74k,0.4,300,8,0.1,348m,0.1
ScalaSparkPagerank,2023-04-17,19:32:05,531470496,210.937,2519569,1259784,2m,2,5,4g,4,4,8g,snappy,56k,66k,84k,100m,0.5,0.5,2m,org.apache.spark.serializer.JavaSerializer,112k,0.1,250,8,0.2,64m,0.8
ScalaSparkPagerank,2023-04-17,20:32:11,531470496,278.274,1909881,954940,4m,12,7,8g,4,4,8g,lzf,54k,64k,86k,12m,0.1,0.5,76m,org.apache.spark.serializer.KryoSerializer,118k,0.5,50,8,0.5,226m,0.1
ScalaSparkPagerank,2023-04-17,20:45:39,531470496,161.382,3293245,1646622,40m,10,6,15g,2,8,4g,lzf,124k,88k,100k,68m,0.8,0.5,24m,org.apache.spark.serializer.JavaSerializer,92k,0.8,300,8,0.6,104m,0.6
