Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-20,02:34:34,16424533732,121.327,135374102,67687051,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkWordcount,2023-04-20,02:45:19,16424533732,116.155,141401865,70700932,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkWordcount,2023-04-20,02:56:29,16424533732,118.208,138946041,69473020,10m,4,2,13g,8,2,16g,lz4,50k,2k,122k,88m,0.6,0.8,104m,org.apache.spark.serializer.JavaSerializer,20k,0.5,450,0.4,438m,0.7
ScalaSparkWordcount,2023-04-20,03:07:53,16424533732,121.271,135436614,67718307,112m,16,8,15g,4,4,8g,snappy,78k,10k,88k,96m,0.7,0.4,6m,org.apache.spark.serializer.KryoSerializer,42k,0.8,50,0.6,444m,0.3
ScalaSparkWordcount,2023-04-20,03:18:40,16424533732,115.077,142726467,71363233,18m,8,3,4g,8,2,16g,lz4,78k,48k,4k,88m,0.8,0.9,108m,org.apache.spark.serializer.KryoSerializer,46k,0.2,250,0.2,222m,0.1
ScalaSparkWordcount,2023-04-20,03:29:27,16424533732,122.033,134590919,67295459,68m,6,1,14g,4,4,8g,lz4,90k,86k,24k,48m,0.8,0.4,100m,org.apache.spark.serializer.JavaSerializer,102k,0.2,200,0.8,126m,0.9
ScalaSparkWordcount,2023-04-20,03:40:18,16424533732,118.179,138980138,69490069,106m,6,4,16g,8,2,16g,lz4,28k,92k,24k,124m,0.8,0.4,114m,org.apache.spark.serializer.KryoSerializer,96k,0.3,750,0.4,72m,0.9
ScalaSparkWordcount,2023-04-20,03:52:03,16424533732,128.771,127548390,63774195,118m,8,5,11g,2,8,4g,lzf,58k,114k,62k,24m,0.6,0.7,26m,org.apache.spark.serializer.KryoSerializer,58k,0.7,550,0.2,358m,0.3
ScalaSparkWordcount,2023-04-20,04:03:37,16424533732,118.537,138560396,69280198,102m,8,8,8g,8,2,16g,snappy,38k,62k,40k,92m,0.9,0.8,82m,org.apache.spark.serializer.KryoSerializer,60k,0.9,250,0.6,46m,0.6
ScalaSparkWordcount,2023-04-20,04:15:58,16424533732,129.046,127276581,63638290,28m,4,7,10g,2,8,4g,snappy,112k,14k,82k,56m,0.4,0.9,124m,org.apache.spark.serializer.KryoSerializer,6k,0.9,100,0.2,174m,0.3
ScalaSparkWordcount,2023-04-20,04:35:55,16424533732,118.635,138445936,69222968,108m,8,3,7g,8,2,16g,lzf,94k,12k,120k,100m,0.1,0.5,38m,org.apache.spark.serializer.JavaSerializer,102k,0.5,750,0.3,204m,0.6
ScalaSparkWordcount,2023-04-20,04:46:53,16424533732,121.375,135320566,67660283,88m,12,7,15g,4,4,8g,lzf,10k,24k,30k,108m,0.6,0.6,18m,org.apache.spark.serializer.JavaSerializer,46k,0.3,400,0.8,184m,0.2
ScalaSparkWordcount,2023-04-20,04:59:15,16424533732,131.575,124830201,62415100,114m,8,4,11g,2,8,4g,lzf,28k,44k,66k,112m,0.8,0.8,76m,org.apache.spark.serializer.KryoSerializer,82k,0.8,750,0.4,200m,0.3
ScalaSparkWordcount,2023-04-20,05:26:21,16424533732,123.063,133464434,66732217,78m,4,4,16g,4,4,8g,lz4,68k,42k,46k,68m,0.1,0.5,14m,org.apache.spark.serializer.KryoSerializer,126k,0.7,700,0.4,296m,0.4
ScalaSparkWordcount,2023-04-20,05:38:50,16424533732,128.942,127379238,63689619,92m,6,8,6g,2,8,4g,lzf,56k,96k,20k,96m,0.4,0.8,86m,org.apache.spark.serializer.KryoSerializer,104k,0.1,150,0.3,170m,0.8
ScalaSparkWordcount,2023-04-20,05:56:23,16424533732,119.66,137260017,68630008,36m,6,7,14g,8,2,16g,lzf,100k,126k,70k,116m,0.2,0.5,4m,org.apache.spark.serializer.KryoSerializer,106k,0.9,650,0.4,22m,0.6
ScalaSparkWordcount,2023-04-20,06:08:14,16424533732,131.225,125163145,62581572,108m,14,3,6g,2,8,4g,snappy,54k,52k,56k,120m,0.7,0.9,66m,org.apache.spark.serializer.KryoSerializer,94k,0.7,600,0.3,112m,0.2
ScalaSparkWordcount,2023-04-20,06:20:09,16424533732,120.076,136784484,68392242,44m,2,3,14g,4,4,8g,lz4,40k,122k,108k,12m,0.8,0.5,22m,org.apache.spark.serializer.JavaSerializer,18k,0.8,500,0.7,150m,0.7
ScalaSparkWordcount,2023-04-20,06:32:09,16424533732,121.327,135374102,67687051,110m,6,6,5g,4,4,8g,lzf,104k,44k,38k,108m,0.4,0.5,38m,org.apache.spark.serializer.KryoSerializer,84k,0.7,300,0.3,222m,0.5
ScalaSparkWordcount,2023-04-20,06:43:21,16424533732,128.41,127906967,63953483,22m,12,8,10g,2,8,4g,snappy,76k,16k,86k,100m,0.6,0.8,10m,org.apache.spark.serializer.JavaSerializer,102k,0.3,750,0.5,332m,0.5
ScalaSparkWordcount,2023-04-20,06:54:01,16424533732,123.715,132761053,66380526,108m,16,5,15g,4,4,8g,snappy,44k,76k,32k,12m,0.5,0.2,126m,org.apache.spark.serializer.JavaSerializer,94k,0.1,350,0.6,110m,0.6
ScalaSparkWordcount,2023-04-20,07:06:16,16424533732,131.101,125281528,62640764,54m,10,8,11g,2,8,4g,lzf,24k,40k,102k,96m,0.4,0.1,96m,org.apache.spark.serializer.KryoSerializer,122k,0.1,300,0.4,96m,0.1
ScalaSparkWordcount,2023-04-20,07:17:38,16424533732,124.29,132146864,66073432,116m,10,3,4g,4,4,8g,snappy,16k,8k,10k,20m,0.7,0.5,104m,org.apache.spark.serializer.KryoSerializer,32k,0.6,800,0.6,458m,0.1
ScalaSparkWordcount,2023-04-20,07:29:48,16424533732,116.235,141304544,70652272,70m,2,8,7g,8,2,16g,snappy,50k,86k,26k,100m,0.7,0.3,72m,org.apache.spark.serializer.KryoSerializer,12k,0.7,100,0.2,50m,0.7
ScalaSparkWordcount,2023-04-20,07:44:40,16424533732,122.395,134192848,67096424,126m,8,6,9g,4,4,8g,lz4,16k,4k,46k,104m,0.2,0.5,76m,org.apache.spark.serializer.KryoSerializer,94k,0.5,650,0.3,124m,0.1
ScalaSparkWordcount,2023-04-20,07:58:41,16424533732,114.127,143914531,71957265,92m,16,7,15g,8,2,16g,lzf,86k,24k,64k,96m,0.3,0.1,118m,org.apache.spark.serializer.KryoSerializer,112k,0.3,800,0.1,342m,0.4
ScalaSparkWordcount,2023-04-20,08:10:19,16424533732,122.455,134127097,67063548,22m,2,7,16g,4,4,8g,lz4,108k,2k,122k,112m,0.4,0.8,70m,org.apache.spark.serializer.KryoSerializer,64k,0.6,300,0.3,108m,0.9
ScalaSparkWordcount,2023-04-20,08:22:37,16424533732,130.017,126326047,63163023,34m,10,3,5g,2,8,4g,snappy,110k,4k,36k,44m,0.4,0.8,78m,org.apache.spark.serializer.KryoSerializer,92k,0.5,550,0.5,18m,0.1
ScalaSparkWordcount,2023-04-20,08:37:04,16424533732,121.522,135156874,67578437,118m,6,8,7g,8,2,16g,lzf,4k,10k,122k,64m,0.3,0.8,64m,org.apache.spark.serializer.KryoSerializer,40k,0.6,250,0.6,266m,0.4
ScalaSparkWordcount,2023-04-20,08:51:05,16424533732,130.776,125592874,62796437,118m,2,2,5g,2,8,4g,snappy,50k,64k,22k,100m,0.7,0.3,90m,org.apache.spark.serializer.KryoSerializer,112k,0.5,200,0.7,278m,0.7
ScalaSparkWordcount,2023-04-20,09:12:09,16424533732,128.297,128019624,64009812,22m,2,4,4g,2,8,4g,lzf,20k,62k,34k,24m,0.2,0.3,98m,org.apache.spark.serializer.KryoSerializer,4k,0.6,400,0.6,442m,0.1
ScalaSparkWordcount,2023-04-20,09:23:53,16424533732,118.435,138679729,69339864,54m,4,7,4g,8,2,16g,lzf,52k,72k,88k,116m,0.5,0.1,36m,org.apache.spark.serializer.KryoSerializer,54k,0.1,750,0.6,384m,0.4
ScalaSparkWordcount,2023-04-20,09:35:36,16424533732,128.658,127660415,63830207,120m,14,7,9g,2,8,4g,snappy,10k,4k,24k,56m,0.6,0.8,50m,org.apache.spark.serializer.KryoSerializer,54k,0.7,400,0.4,366m,0.6
ScalaSparkWordcount,2023-04-20,09:49:34,16424533732,115.65,142019314,71009657,98m,8,2,13g,8,2,16g,lzf,44k,60k,76k,84m,0.3,0.2,58m,org.apache.spark.serializer.KryoSerializer,96k,0.8,100,0.4,398m,0.5
ScalaSparkWordcount,2023-04-20,10:00:39,16424533732,125.001,131395218,65697609,26m,6,2,8g,4,4,8g,lzf,102k,76k,34k,88m,0.5,0.8,20m,org.apache.spark.serializer.JavaSerializer,42k,0.1,450,0.3,50m,0.7
ScalaSparkWordcount,2023-04-20,10:11:29,16424533732,116.699,140742711,70371355,56m,6,2,9g,8,2,16g,snappy,98k,112k,56k,72m,0.5,0.7,72m,org.apache.spark.serializer.JavaSerializer,96k,0.3,800,0.9,460m,0.2
ScalaSparkWordcount,2023-04-20,10:22:49,16424533732,129.915,126425229,63212614,26m,14,3,7g,2,8,4g,lz4,110k,10k,60k,64m,0.6,0.2,82m,org.apache.spark.serializer.JavaSerializer,18k,0.7,150,0.6,458m,0.4
ScalaSparkWordcount,2023-04-20,10:35:08,16424533732,110.631,148462309,74231154,28m,2,2,8g,8,2,16g,snappy,106k,118k,18k,112m,0.8,0.4,4m,org.apache.spark.serializer.KryoSerializer,76k,0.7,750,0.4,20m,0.9
ScalaSparkWordcount,2023-04-20,10:46:26,16424533732,130.661,125703413,62851706,114m,14,5,12g,2,8,4g,lz4,8k,90k,52k,4m,0.7,0.5,88m,org.apache.spark.serializer.JavaSerializer,32k,0.5,800,0.6,418m,0.5
ScalaSparkWordcount,2023-04-20,10:57:42,16424533732,122.344,134248788,67124394,66m,12,8,9g,4,4,8g,lzf,36k,90k,58k,80m,0.8,0.3,38m,org.apache.spark.serializer.KryoSerializer,24k,0.8,600,0.8,158m,0.1
ScalaSparkWordcount,2023-04-20,11:10:05,16424533732,115.875,141743548,70871774,22m,2,6,13g,8,2,16g,lzf,44k,44k,88k,12m,0.5,0.5,74m,org.apache.spark.serializer.KryoSerializer,78k,0.4,250,0.3,238m,0.2
ScalaSparkWordcount,2023-04-20,11:21:46,16424533732,122.392,134196138,67098069,32m,4,4,7g,4,4,8g,lzf,4k,84k,126k,72m,0.9,0.4,24m,org.apache.spark.serializer.KryoSerializer,84k,0.1,350,0.2,72m,0.3
ScalaSparkWordcount,2023-04-20,11:32:50,16424533732,116.081,141492007,70746003,80m,6,8,6g,8,2,16g,lz4,2k,68k,78k,112m,0.6,0.4,64m,org.apache.spark.serializer.JavaSerializer,80k,0.5,300,0.8,134m,0.3
ScalaSparkWordcount,2023-04-20,11:43:54,16424533732,112.953,145410336,72705168,50m,10,6,13g,8,2,16g,lz4,124k,122k,112k,68m,0.7,0.9,118m,org.apache.spark.serializer.JavaSerializer,78k,0.4,800,0.2,6m,0.6
ScalaSparkWordcount,2023-04-20,12:03:37,16424533732,119.208,137780465,68890232,80m,12,8,15g,8,2,16g,lz4,102k,92k,94k,48m,0.1,0.8,66m,org.apache.spark.serializer.KryoSerializer,108k,0.4,100,0.9,264m,0.9
ScalaSparkWordcount,2023-04-20,12:16:54,16424533732,121.049,135685001,67842500,56m,16,8,13g,4,4,8g,lzf,62k,40k,112k,44m,0.3,0.6,86m,org.apache.spark.serializer.JavaSerializer,60k,0.1,200,0.6,108m,0.7
ScalaSparkWordcount,2023-04-20,12:28:13,16424533732,121.324,135377449,67688724,128m,12,2,9g,8,2,16g,lz4,52k,52k,6k,124m,0.8,0.2,12m,org.apache.spark.serializer.JavaSerializer,60k,0.2,150,0.4,150m,0.9
