Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-20,07:25:32,395478955,214.113,1847057,923528,70m,2,8,7g,8,2,16g,snappy,50k,86k,26k,100m,0.7,0.3,72m,org.apache.spark.serializer.KryoSerializer,12k,0.7,100,0.2,50m,0.7
ScalaSparkPagerank,2023-04-20,07:40:29,395478955,129.858,3045472,1522736,126m,8,6,9g,4,4,8g,lz4,16k,4k,46k,104m,0.2,0.5,76m,org.apache.spark.serializer.KryoSerializer,94k,0.5,650,0.3,124m,0.1
ScalaSparkPagerank,2023-04-20,07:54:19,395478955,170.271,2322644,1161322,92m,16,7,15g,8,2,16g,lzf,86k,24k,64k,96m,0.3,0.1,118m,org.apache.spark.serializer.KryoSerializer,112k,0.3,800,0.1,342m,0.4
ScalaSparkPagerank,2023-04-20,08:06:08,395478955,174.538,2265861,1132930,22m,2,7,16g,4,4,8g,lz4,108k,2k,122k,112m,0.4,0.8,70m,org.apache.spark.serializer.KryoSerializer,64k,0.6,300,0.3,108m,0.9
ScalaSparkPagerank,2023-04-20,08:18:01,395478955,166.053,2381642,1190821,34m,10,3,5g,2,8,4g,snappy,110k,4k,36k,44m,0.4,0.8,78m,org.apache.spark.serializer.KryoSerializer,92k,0.5,550,0.5,18m,0.1
ScalaSparkPagerank,2023-04-20,08:32:33,395478955,177.637,2226332,1113166,118m,6,8,7g,8,2,16g,lzf,4k,10k,122k,64m,0.3,0.8,64m,org.apache.spark.serializer.KryoSerializer,40k,0.6,250,0.6,266m,0.4
ScalaSparkPagerank,2023-04-20,08:46:43,395478955,297.26,1330414,665207,118m,2,2,5g,2,8,4g,snappy,50k,64k,22k,100m,0.7,0.3,90m,org.apache.spark.serializer.KryoSerializer,112k,0.5,200,0.7,278m,0.7
ScalaSparkPagerank,2023-04-20,09:07:41,395478955,430.735,918149,459074,22m,2,4,4g,2,8,4g,lzf,20k,62k,34k,24m,0.2,0.3,98m,org.apache.spark.serializer.KryoSerializer,4k,0.6,400,0.6,442m,0.1
ScalaSparkPagerank,2023-04-20,09:19:27,395478955,180.708,2188497,1094248,54m,4,7,4g,8,2,16g,lzf,52k,72k,88k,116m,0.5,0.1,36m,org.apache.spark.serializer.KryoSerializer,54k,0.1,750,0.6,384m,0.4
ScalaSparkPagerank,2023-04-20,09:31:09,395478955,160.729,2460532,1230266,120m,14,7,9g,2,8,4g,snappy,10k,4k,24k,56m,0.6,0.8,50m,org.apache.spark.serializer.KryoSerializer,54k,0.7,400,0.4,366m,0.6
ScalaSparkPagerank,2023-04-20,09:45:15,395478955,163.826,2414018,1207009,98m,8,2,13g,8,2,16g,lzf,44k,60k,76k,84m,0.3,0.2,58m,org.apache.spark.serializer.KryoSerializer,96k,0.8,100,0.4,398m,0.5
ScalaSparkPagerank,2023-04-20,09:56:20,395478955,145.288,2722034,1361017,26m,6,2,8g,4,4,8g,lzf,102k,76k,34k,88m,0.5,0.8,20m,org.apache.spark.serializer.JavaSerializer,42k,0.1,450,0.3,50m,0.7
ScalaSparkPagerank,2023-04-20,10:07:09,395478955,142.032,2784435,1392217,56m,6,2,9g,8,2,16g,snappy,98k,112k,56k,72m,0.5,0.7,72m,org.apache.spark.serializer.JavaSerializer,96k,0.3,800,0.9,460m,0.2
ScalaSparkPagerank,2023-04-20,10:18:19,395478955,135.919,2909666,1454833,26m,14,3,7g,2,8,4g,lz4,110k,10k,60k,64m,0.6,0.2,82m,org.apache.spark.serializer.JavaSerializer,18k,0.7,150,0.6,458m,0.4
ScalaSparkPagerank,2023-04-20,10:30:42,395478955,217.007,1822424,911212,28m,2,2,8g,8,2,16g,snappy,106k,118k,18k,112m,0.8,0.4,4m,org.apache.spark.serializer.KryoSerializer,76k,0.7,750,0.4,20m,0.9
ScalaSparkPagerank,2023-04-20,10:42:04,395478955,139.539,2834182,1417091,114m,14,5,12g,2,8,4g,lz4,8k,90k,52k,4m,0.7,0.5,88m,org.apache.spark.serializer.JavaSerializer,32k,0.5,800,0.6,418m,0.5
ScalaSparkPagerank,2023-04-20,10:53:26,395478955,155.627,2541197,1270598,66m,12,8,9g,4,4,8g,lzf,36k,90k,58k,80m,0.8,0.3,38m,org.apache.spark.serializer.KryoSerializer,24k,0.8,600,0.8,158m,0.1
ScalaSparkPagerank,2023-04-20,11:05:49,395478955,230.531,1715513,857756,22m,2,6,13g,8,2,16g,lzf,44k,44k,88k,12m,0.5,0.5,74m,org.apache.spark.serializer.KryoSerializer,78k,0.4,250,0.3,238m,0.2
ScalaSparkPagerank,2023-04-20,11:17:20,395478955,174.439,2267147,1133573,32m,4,4,7g,4,4,8g,lzf,4k,84k,126k,72m,0.9,0.4,24m,org.apache.spark.serializer.KryoSerializer,84k,0.1,350,0.2,72m,0.3
ScalaSparkPagerank,2023-04-20,11:28:27,395478955,152.791,2588365,1294182,80m,6,8,6g,8,2,16g,lz4,2k,68k,78k,112m,0.6,0.4,64m,org.apache.spark.serializer.JavaSerializer,80k,0.5,300,0.8,134m,0.3
ScalaSparkPagerank,2023-04-20,11:39:39,395478955,153.737,2572438,1286219,50m,10,6,13g,8,2,16g,lz4,124k,122k,112k,68m,0.7,0.9,118m,org.apache.spark.serializer.JavaSerializer,78k,0.4,800,0.2,6m,0.6
ScalaSparkPagerank,2023-04-20,11:59:37,395478955,169.965,2326825,1163412,80m,12,8,15g,8,2,16g,lz4,102k,92k,94k,48m,0.1,0.8,66m,org.apache.spark.serializer.KryoSerializer,108k,0.4,100,0.9,264m,0.9
ScalaSparkPagerank,2023-04-20,12:12:38,395478955,143.785,2750488,1375244,56m,16,8,13g,4,4,8g,lzf,62k,40k,112k,44m,0.3,0.6,86m,org.apache.spark.serializer.JavaSerializer,60k,0.1,200,0.6,108m,0.7
ScalaSparkPagerank,2023-04-20,12:23:36,395478955,141.464,2795615,1397807,128m,12,2,9g,8,2,16g,lz4,52k,52k,6k,124m,0.8,0.2,12m,org.apache.spark.serializer.JavaSerializer,60k,0.2,150,0.4,150m,0.9
ScalaSparkPagerank,2023-04-20,12:35:01,395478955,132.713,2979956,1489978,78m,14,4,12g,4,4,8g,lz4,14k,66k,102k,64m,0.4,0.9,56m,org.apache.spark.serializer.JavaSerializer,92k,0.5,150,0.7,74m,0.8
ScalaSparkPagerank,2023-04-20,12:50:17,395478955,138.999,2845192,1422596,2m,8,2,12g,4,4,8g,snappy,54k,72k,116k,104m,0.2,0.1,18m,org.apache.spark.serializer.JavaSerializer,76k,0.7,200,0.6,350m,0.4
ScalaSparkPagerank,2023-04-20,13:02:02,395478955,178.132,2220145,1110072,92m,4,3,10g,4,4,8g,lzf,96k,6k,14k,4m,0.9,0.6,38m,org.apache.spark.serializer.KryoSerializer,110k,0.9,500,0.9,106m,0.3
