Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-20,02:27:54,199715274,113.793,1755075,877537,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkNWeight,2023-04-20,02:38:43,199715274,122.527,1629969,814984,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkNWeight,2023-04-20,02:49:28,199715274,119.57,1670279,835139,10m,4,2,13g,8,2,16g,lz4,50k,2k,122k,88m,0.6,0.8,104m,org.apache.spark.serializer.JavaSerializer,20k,0.5,450,0.4,438m,0.7
ScalaSparkNWeight,2023-04-20,03:00:47,199715274,122.728,1627299,813649,112m,16,8,15g,4,4,8g,snappy,78k,10k,88k,96m,0.7,0.4,6m,org.apache.spark.serializer.KryoSerializer,42k,0.8,50,0.6,444m,0.3
ScalaSparkNWeight,2023-04-20,03:12:09,199715274,119.183,1675702,837851,18m,8,3,4g,8,2,16g,lz4,78k,48k,4k,88m,0.8,0.9,108m,org.apache.spark.serializer.KryoSerializer,46k,0.2,250,0.2,222m,0.1
ScalaSparkNWeight,2023-04-20,03:22:50,199715274,117.005,1706895,853447,68m,6,1,14g,4,4,8g,lz4,90k,86k,24k,48m,0.8,0.4,100m,org.apache.spark.serializer.JavaSerializer,102k,0.2,200,0.8,126m,0.9
ScalaSparkNWeight,2023-04-20,03:33:41,199715274,119.257,1674662,837331,106m,6,4,16g,8,2,16g,lz4,28k,92k,24k,124m,0.8,0.4,114m,org.apache.spark.serializer.KryoSerializer,96k,0.3,750,0.4,72m,0.9
ScalaSparkNWeight,2023-04-20,03:44:51,199715274,126.425,1579713,789856,118m,8,5,11g,2,8,4g,lzf,58k,114k,62k,24m,0.6,0.7,26m,org.apache.spark.serializer.KryoSerializer,58k,0.7,550,0.2,358m,0.3
ScalaSparkNWeight,2023-04-20,03:56:13,199715274,119.161,1676012,838006,102m,8,8,8g,8,2,16g,snappy,38k,62k,40k,92m,0.9,0.8,82m,org.apache.spark.serializer.KryoSerializer,60k,0.9,250,0.6,46m,0.6
ScalaSparkNWeight,2023-04-20,04:08:28,199715274,145.763,1370136,685068,28m,4,7,10g,2,8,4g,snappy,112k,14k,82k,56m,0.4,0.9,124m,org.apache.spark.serializer.KryoSerializer,6k,0.9,100,0.2,174m,0.3
