Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-20,07:33:22,8032739912,125.716,63895923,31947961,9m,4,1,16g,4,4,8g,snappy,65k,82k,121k,11m,0.71,0.56,23m,org.apache.spark.serializer.KryoSerializer,7k,0.68,105,0.55,458m,0.38
ScalaSparkKmeans,2023-04-20,07:44:45,8032739912,136.547,58827655,29413827,17m,8,1,16g,2,8,4g,lz4,75k,79k,7k,52m,0.75,0.31,99m,org.apache.spark.serializer.KryoSerializer,66k,0.14,450,0.79,362m,0.77
ScalaSparkKmeans,2023-04-20,07:55:52,8032739912,118.859,67582092,33791046,90m,5,1,16g,4,4,8g,lzf,54k,28k,48k,107m,0.66,0.69,64m,org.apache.spark.serializer.KryoSerializer,62k,0.29,300,0.66,327m,0.74
ScalaSparkKmeans,2023-04-20,08:06:54,8032739912,115.094,69792864,34896432,19m,11,1,16g,8,2,16g,lz4,20k,12k,47k,9m,0.66,0.75,92m,org.apache.spark.serializer.JavaSerializer,40k,0.3,171,0.53,351m,0.54
ScalaSparkKmeans,2023-04-20,08:17:27,8032739912,123.341,65126275,32563137,33m,13,1,16g,4,4,8g,snappy,107k,42k,89k,123m,0.54,0.63,113m,org.apache.spark.serializer.JavaSerializer,43k,0.64,191,0.55,263m,0.11
ScalaSparkKmeans,2023-04-20,08:28:02,8032739912,128.912,62311808,31155904,41m,13,1,16g,4,4,8g,lz4,11k,14k,48k,111m,0.47,0.52,5m,org.apache.spark.serializer.JavaSerializer,79k,0.52,313,0.78,298m,0.52
ScalaSparkKmeans,2023-04-20,08:38:45,8032739912,122.181,65744591,32872295,21m,6,1,16g,4,4,8g,snappy,103k,97k,78k,10m,0.44,0.51,7m,org.apache.spark.serializer.KryoSerializer,122k,0.84,262,0.61,498m,0.39
ScalaSparkKmeans,2023-04-20,08:50:14,8032739912,120.079,66895459,33447729,16m,3,1,16g,4,4,8g,lz4,15k,108k,92k,104m,0.56,0.21,97m,org.apache.spark.serializer.JavaSerializer,101k,0.41,473,0.37,88m,0.23
ScalaSparkKmeans,2023-04-20,09:02:25,8032739912,186.985,42959274,21479637,124m,14,1,16g,8,2,16g,lzf,85k,120k,94k,32m,0.3,0.37,56m,org.apache.spark.serializer.JavaSerializer,69k,0.54,357,0.89,356m,0.87
ScalaSparkKmeans,2023-04-20,09:14:25,8032739912,124.93,64297926,32148963,36m,11,1,16g,4,4,8g,snappy,112k,83k,39k,9m,0.39,0.64,70m,org.apache.spark.serializer.KryoSerializer,11k,0.43,167,0.19,203m,0.23
ScalaSparkKmeans,2023-04-20,09:26:00,8032739912,138.682,57922007,28961003,14m,13,1,16g,2,8,4g,lz4,79k,116k,72k,71m,0.6,0.84,57m,org.apache.spark.serializer.KryoSerializer,123k,0.38,697,0.54,83m,0.9
ScalaSparkKmeans,2023-04-20,09:39:13,8032739912,270.791,29663984,14831992,123m,5,1,16g,8,2,16g,lzf,35k,100k,7k,78m,0.22,0.83,64m,org.apache.spark.serializer.JavaSerializer,93k,0.57,309,0.54,409m,0.23
ScalaSparkKmeans,2023-04-20,09:52:31,8032739912,120.255,66797554,33398777,85m,12,1,16g,8,2,16g,lzf,45k,95k,80k,22m,0.8,0.2,22m,org.apache.spark.serializer.JavaSerializer,24k,0.23,240,0.53,95m,0.82
ScalaSparkKmeans,2023-04-20,10:03:04,8032739912,113.586,70719454,35359727,68m,8,1,16g,8,2,16g,lz4,83k,117k,61k,56m,0.62,0.51,90m,org.apache.spark.serializer.JavaSerializer,8k,0.62,192,0.15,253m,0.79
ScalaSparkKmeans,2023-04-20,10:13:48,8032739912,141.623,56719176,28359588,29m,12,1,16g,2,8,4g,snappy,71k,67k,96k,49m,0.58,0.48,68m,org.apache.spark.serializer.JavaSerializer,23k,0.71,643,0.19,192m,0.62
ScalaSparkKmeans,2023-04-20,10:26:53,8032739912,242.072,33183267,16591633,81m,2,1,16g,8,2,16g,lz4,102k,40k,37k,48m,0.24,0.89,115m,org.apache.spark.serializer.KryoSerializer,64k,0.82,283,0.74,153m,0.44
ScalaSparkKmeans,2023-04-20,10:40:00,8032739912,115.538,69524657,34762328,50m,3,1,16g,8,2,16g,lzf,46k,30k,123k,100m,0.72,0.43,25m,org.apache.spark.serializer.JavaSerializer,111k,0.31,698,0.9,486m,0.11
ScalaSparkKmeans,2023-04-20,10:52:21,8032739912,192.116,41811925,20905962,25m,14,1,16g,2,8,4g,lz4,17k,34k,84k,115m,0.33,0.27,34m,org.apache.spark.serializer.KryoSerializer,76k,0.67,501,0.48,474m,0.88
ScalaSparkKmeans,2023-04-20,11:04:14,8032739912,135.379,59335199,29667599,83m,5,1,16g,2,8,4g,lz4,81k,89k,15k,35m,0.67,0.56,40m,org.apache.spark.serializer.KryoSerializer,98k,0.27,293,0.71,112m,0.19
ScalaSparkKmeans,2023-04-20,11:17:50,8032739912,274.406,29273193,14636596,79m,5,1,16g,8,2,16g,lzf,111k,2k,128k,111m,0.21,0.59,73m,org.apache.spark.serializer.KryoSerializer,7k,0.56,118,0.59,152m,0.47
ScalaSparkKmeans,2023-04-20,11:31:19,8032739912,116.83,68755798,34377899,74m,11,1,16g,8,2,16g,snappy,88k,100k,126k,31m,0.47,0.43,79m,org.apache.spark.serializer.JavaSerializer,25k,0.83,62,0.58,187m,0.58
ScalaSparkKmeans,2023-04-20,11:43:24,8032739912,198.899,40386024,20193012,83m,13,1,16g,8,2,16g,snappy,106k,15k,79k,95m,0.28,0.61,78m,org.apache.spark.serializer.JavaSerializer,98k,0.85,569,0.62,326m,0.64
ScalaSparkKmeans,2023-04-20,11:55:43,8032739912,122.652,65492123,32746061,117m,11,1,16g,4,4,8g,lz4,29k,53k,118k,25m,0.71,0.12,62m,org.apache.spark.serializer.JavaSerializer,94k,0.9,399,0.86,290m,0.49
ScalaSparkKmeans,2023-04-20,12:06:26,8032739912,132.343,60696371,30348185,16m,7,1,16g,2,8,4g,lzf,82k,51k,26k,77m,0.47,0.35,29m,org.apache.spark.serializer.KryoSerializer,21k,0.55,180,0.21,288m,0.28
ScalaSparkKmeans,2023-04-20,12:18:12,8032739912,131.745,60971876,30485938,29m,4,1,16g,2,8,4g,lzf,94k,60k,72k,11m,0.48,0.68,61m,org.apache.spark.serializer.KryoSerializer,38k,0.3,645,0.63,169m,0.58
ScalaSparkKmeans,2023-04-20,12:31:11,8032739912,207.766,38662437,19331218,100m,14,1,16g,4,4,8g,lz4,114k,3k,128k,27m,0.28,0.39,109m,org.apache.spark.serializer.JavaSerializer,31k,0.25,775,0.52,284m,0.68
ScalaSparkKmeans,2023-04-20,12:42:31,8032739912,123.352,65120467,32560233,29m,10,1,16g,4,4,8g,lz4,114k,115k,78k,93m,0.43,0.77,68m,org.apache.spark.serializer.KryoSerializer,107k,0.86,512,0.17,20m,0.5
ScalaSparkKmeans,2023-04-20,12:54:35,8032739912,220.025,36508305,18254152,24m,11,1,16g,8,2,16g,lz4,51k,27k,91k,69m,0.28,0.87,96m,org.apache.spark.serializer.JavaSerializer,117k,0.47,737,0.52,464m,0.26
ScalaSparkKmeans,2023-04-20,13:06:35,8032739912,118.635,67709697,33854848,122m,4,1,16g,8,2,16g,lz4,111k,68k,39k,72m,0.75,0.6,9m,org.apache.spark.serializer.JavaSerializer,35k,0.24,420,0.36,48m,0.18
