Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-20,07:40:20,4800000000,114.492,41924326,20962163,9m,4,1,16g,4,4,8g,snappy,65k,82k,121k,11m,0.71,0.56,23m,org.apache.spark.serializer.KryoSerializer,7k,0.68,105,0.55,458m,0.38
ScalaSparkTerasort,2023-04-20,07:51:33,4800000000,120.884,39707488,19853744,17m,8,1,16g,2,8,4g,lz4,75k,79k,7k,52m,0.75,0.31,99m,org.apache.spark.serializer.KryoSerializer,66k,0.14,450,0.79,362m,0.77
ScalaSparkTerasort,2023-04-20,08:02:46,4800000000,117.013,41021083,20510541,90m,5,1,16g,4,4,8g,lzf,54k,28k,48k,107m,0.66,0.69,64m,org.apache.spark.serializer.KryoSerializer,62k,0.29,300,0.66,327m,0.74
ScalaSparkTerasort,2023-04-20,08:13:13,4800000000,123.794,38774092,19387046,19m,11,1,16g,8,2,16g,lz4,20k,12k,47k,9m,0.66,0.75,92m,org.apache.spark.serializer.JavaSerializer,40k,0.3,171,0.53,351m,0.54
ScalaSparkTerasort,2023-04-20,08:23:43,4800000000,122.374,39224018,19612009,33m,13,1,16g,4,4,8g,snappy,107k,42k,89k,123m,0.54,0.63,113m,org.apache.spark.serializer.JavaSerializer,43k,0.64,191,0.55,263m,0.11
ScalaSparkTerasort,2023-04-20,08:34:36,4800000000,128.766,37276920,18638460,41m,13,1,16g,4,4,8g,lz4,11k,14k,48k,111m,0.47,0.52,5m,org.apache.spark.serializer.JavaSerializer,79k,0.52,313,0.78,298m,0.52
ScalaSparkTerasort,2023-04-20,08:46:01,4800000000,137.007,35034706,17517353,21m,6,1,16g,4,4,8g,snappy,103k,97k,78k,10m,0.44,0.51,7m,org.apache.spark.serializer.KryoSerializer,122k,0.84,262,0.61,498m,0.39
ScalaSparkTerasort,2023-04-20,08:57:05,4800000000,121.554,39488622,19744311,16m,3,1,16g,4,4,8g,lz4,15k,108k,92k,104m,0.56,0.21,97m,org.apache.spark.serializer.JavaSerializer,101k,0.41,473,0.37,88m,0.23
ScalaSparkTerasort,2023-04-20,09:10:17,4800000000,141.274,33976527,16988263,124m,14,1,16g,8,2,16g,lzf,85k,120k,94k,32m,0.3,0.37,56m,org.apache.spark.serializer.JavaSerializer,69k,0.54,357,0.89,356m,0.87
ScalaSparkTerasort,2023-04-20,09:21:32,4800000000,120.911,39698621,19849310,36m,11,1,16g,4,4,8g,snappy,112k,83k,39k,9m,0.39,0.64,70m,org.apache.spark.serializer.KryoSerializer,11k,0.43,167,0.19,203m,0.23
