Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-20,02:51:51,395478955,165.327,2392101,1196050,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkPagerank,2023-04-20,03:11:45,395478955,181.577,2178023,1089011,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.1,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.9,124,0.86,303m,0.79
ScalaSparkPagerank,2023-04-20,03:22:43,395478955,145.425,2719470,1359735,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkPagerank,2023-04-20,03:34:29,395478955,174.698,2263786,1131893,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
ScalaSparkPagerank,2023-04-20,03:45:15,395478955,120.264,3288423,1644211,82m,15,1,16g,4,4,8g,lzf,18k,36k,126k,29m,0.4,0.85,24m,org.apache.spark.serializer.JavaSerializer,98k,0.4,231,0.55,123m,0.46
ScalaSparkPagerank,2023-04-20,03:57:25,395478955,182.328,2169052,1084526,15m,6,1,16g,2,8,4g,snappy,92k,83k,37k,104m,0.36,0.19,127m,org.apache.spark.serializer.JavaSerializer,2k,0.15,641,0.46,299m,0.37
ScalaSparkPagerank,2023-04-20,04:16:20,395478955,248.62,1590696,795348,63m,15,1,16g,8,2,16g,lzf,50k,7k,128k,13m,0.12,0.85,85m,org.apache.spark.serializer.KryoSerializer,17k,0.23,96,0.56,383m,0.67
ScalaSparkPagerank,2023-04-20,04:30:14,395478955,248.832,1589341,794670,96m,16,1,16g,2,8,4g,snappy,127k,48k,21k,9m,0.37,0.44,30m,org.apache.spark.serializer.KryoSerializer,99k,0.2,139,0.31,268m,0.67
ScalaSparkPagerank,2023-04-20,04:41:14,395478955,123.591,3199900,1599950,75m,9,1,16g,2,8,4g,lz4,94k,8k,55k,26m,0.57,0.13,102m,org.apache.spark.serializer.KryoSerializer,20k,0.88,758,0.51,60m,0.5
ScalaSparkPagerank,2023-04-20,04:52:13,395478955,146.83,2693447,1346723,67m,3,1,16g,8,2,16g,lz4,83k,126k,99k,65m,0.46,0.38,42m,org.apache.spark.serializer.KryoSerializer,79k,0.81,333,0.33,305m,0.13
ScalaSparkPagerank,2023-04-20,05:02:59,395478955,127.916,3091708,1545854,111m,16,1,16g,2,8,4g,snappy,25k,27k,27k,99m,0.64,0.61,109m,org.apache.spark.serializer.JavaSerializer,89k,0.89,310,0.72,369m,0.5
ScalaSparkPagerank,2023-04-20,05:14:33,395478955,183.863,2150943,1075471,92m,3,1,16g,8,2,16g,lzf,109k,79k,65k,62m,0.57,0.62,88m,org.apache.spark.serializer.KryoSerializer,6k,0.16,355,0.5,44m,0.14
ScalaSparkPagerank,2023-04-20,05:33:19,395478955,168.124,2352305,1176152,58m,15,1,16g,8,2,16g,lzf,117k,75k,84k,99m,0.12,0.65,108m,org.apache.spark.serializer.JavaSerializer,99k,0.41,131,0.42,336m,0.52
ScalaSparkPagerank,2023-04-20,05:43:45,395478955,124.247,3183006,1591503,121m,14,1,16g,2,8,4g,lz4,38k,119k,103k,53m,0.54,0.68,38m,org.apache.spark.serializer.KryoSerializer,102k,0.68,414,0.11,462m,0.11
ScalaSparkPagerank,2023-04-20,06:03:22,395478955,290.584,1360979,680489,34m,2,1,16g,8,2,16g,lzf,93k,95k,27k,5m,0.14,0.55,48m,org.apache.spark.serializer.JavaSerializer,128k,0.62,546,0.38,155m,0.77
ScalaSparkPagerank,2023-04-20,06:13:32,395478955,125.437,3152809,1576404,111m,16,1,16g,8,2,16g,snappy,105k,95k,63k,54m,0.78,0.34,30m,org.apache.spark.serializer.JavaSerializer,31k,0.76,79,0.75,67m,0.3
ScalaSparkPagerank,2023-04-20,06:29:47,395478955,169.516,2332988,1166494,41m,2,1,16g,8,2,16g,lz4,33k,32k,91k,66m,0.21,0.72,33m,org.apache.spark.serializer.JavaSerializer,123k,0.35,760,0.52,23m,0.19
ScalaSparkPagerank,2023-04-20,06:40:39,395478955,147.573,2679886,1339943,107m,16,1,16g,2,8,4g,snappy,74k,90k,81k,25m,0.79,0.84,100m,org.apache.spark.serializer.KryoSerializer,40k,0.6,777,0.12,464m,0.8
ScalaSparkPagerank,2023-04-20,06:52:02,395478955,156.54,2526376,1263188,65m,13,1,16g,8,2,16g,lzf,33k,9k,49k,118m,0.4,0.27,63m,org.apache.spark.serializer.KryoSerializer,86k,0.47,741,0.2,166m,0.15
ScalaSparkPagerank,2023-04-20,07:03:17,395478955,125.576,3149319,1574659,77m,12,1,16g,2,8,4g,lzf,96k,17k,13k,41m,0.79,0.13,47m,org.apache.spark.serializer.JavaSerializer,98k,0.53,312,0.22,73m,0.87
ScalaSparkPagerank,2023-04-20,07:14:55,395478955,147.869,2674522,1337261,106m,5,1,16g,8,2,16g,lz4,60k,109k,125k,52m,0.35,0.44,69m,org.apache.spark.serializer.JavaSerializer,118k,0.69,307,0.21,266m,0.35
ScalaSparkPagerank,2023-04-20,07:26:56,395478955,168.876,2341830,1170915,16m,2,1,16g,4,4,8g,lzf,117k,14k,110k,82m,0.38,0.87,98m,org.apache.spark.serializer.JavaSerializer,18k,0.78,162,0.61,117m,0.2
ScalaSparkPagerank,2023-04-20,07:38:20,395478955,175.262,2256501,1128250,9m,4,1,16g,4,4,8g,snappy,65k,82k,121k,11m,0.71,0.56,23m,org.apache.spark.serializer.KryoSerializer,7k,0.68,105,0.55,458m,0.38
ScalaSparkPagerank,2023-04-20,07:49:28,395478955,123.946,3190735,1595367,17m,8,1,16g,2,8,4g,lz4,75k,79k,7k,52m,0.75,0.31,99m,org.apache.spark.serializer.KryoSerializer,66k,0.14,450,0.79,362m,0.77
ScalaSparkPagerank,2023-04-20,08:00:44,395478955,160.671,2461420,1230710,90m,5,1,16g,4,4,8g,lzf,54k,28k,48k,107m,0.66,0.69,64m,org.apache.spark.serializer.KryoSerializer,62k,0.29,300,0.66,327m,0.74
ScalaSparkPagerank,2023-04-20,08:11:04,395478955,127.398,3104279,1552139,19m,11,1,16g,8,2,16g,lz4,20k,12k,47k,9m,0.66,0.75,92m,org.apache.spark.serializer.JavaSerializer,40k,0.3,171,0.53,351m,0.54
ScalaSparkPagerank,2023-04-20,08:21:36,395478955,122.64,3224714,1612357,33m,13,1,16g,4,4,8g,snappy,107k,42k,89k,123m,0.54,0.63,113m,org.apache.spark.serializer.JavaSerializer,43k,0.64,191,0.55,263m,0.11
ScalaSparkPagerank,2023-04-20,08:32:22,395478955,132.12,2993331,1496665,41m,13,1,16g,4,4,8g,lz4,11k,14k,48k,111m,0.47,0.52,5m,org.apache.spark.serializer.JavaSerializer,79k,0.52,313,0.78,298m,0.52
ScalaSparkPagerank,2023-04-20,08:43:39,395478955,161.695,2445832,1222916,21m,6,1,16g,4,4,8g,snappy,103k,97k,78k,10m,0.44,0.51,7m,org.apache.spark.serializer.KryoSerializer,122k,0.84,262,0.61,498m,0.39
ScalaSparkPagerank,2023-04-20,08:54:59,395478955,164.262,2407610,1203805,16m,3,1,16g,4,4,8g,lz4,15k,108k,92k,104m,0.56,0.21,97m,org.apache.spark.serializer.JavaSerializer,101k,0.41,473,0.37,88m,0.23
