Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-20,07:12:23,199713981,161.357,1237715,618857,106m,5,1,16g,8,2,16g,lz4,60k,109k,125k,52m,0.35,0.44,69m,org.apache.spark.serializer.JavaSerializer,118k,0.69,307,0.21,266m,0.35
ScalaSparkNWeight,2023-04-20,07:24:03,199713981,134.184,1488359,744179,16m,2,1,16g,4,4,8g,lzf,117k,14k,110k,82m,0.38,0.87,98m,org.apache.spark.serializer.JavaSerializer,18k,0.78,162,0.61,117m,0.2
ScalaSparkNWeight,2023-04-20,07:35:21,199713981,113.979,1752199,876099,9m,4,1,16g,4,4,8g,snappy,65k,82k,121k,11m,0.71,0.56,23m,org.apache.spark.serializer.KryoSerializer,7k,0.68,105,0.55,458m,0.38
ScalaSparkNWeight,2023-04-20,07:47:19,199713981,149.681,1334264,667132,17m,8,1,16g,2,8,4g,lz4,75k,79k,7k,52m,0.75,0.31,99m,org.apache.spark.serializer.KryoSerializer,66k,0.14,450,0.79,362m,0.77
ScalaSparkNWeight,2023-04-20,07:57:59,199713981,122.71,1627528,813764,90m,5,1,16g,4,4,8g,lzf,54k,28k,48k,107m,0.66,0.69,64m,org.apache.spark.serializer.KryoSerializer,62k,0.29,300,0.66,327m,0.74
ScalaSparkNWeight,2023-04-20,08:08:52,199713981,112.681,1772383,886191,19m,11,1,16g,8,2,16g,lz4,20k,12k,47k,9m,0.66,0.75,92m,org.apache.spark.serializer.JavaSerializer,40k,0.3,171,0.53,351m,0.54
ScalaSparkNWeight,2023-04-20,08:19:29,199713981,116.767,1710363,855181,33m,13,1,16g,4,4,8g,snappy,107k,42k,89k,123m,0.54,0.63,113m,org.apache.spark.serializer.JavaSerializer,43k,0.64,191,0.55,263m,0.11
ScalaSparkNWeight,2023-04-20,08:30:05,199713981,118.695,1682581,841290,41m,13,1,16g,4,4,8g,lz4,11k,14k,48k,111m,0.47,0.52,5m,org.apache.spark.serializer.JavaSerializer,79k,0.52,313,0.78,298m,0.52
ScalaSparkNWeight,2023-04-20,08:40:53,199713981,122.681,1627912,813956,21m,6,1,16g,4,4,8g,snappy,103k,97k,78k,10m,0.44,0.51,7m,org.apache.spark.serializer.KryoSerializer,122k,0.84,262,0.61,498m,0.39
ScalaSparkNWeight,2023-04-20,08:52:10,199713981,111.843,1785663,892831,16m,3,1,16g,4,4,8g,lz4,15k,108k,92k,104m,0.56,0.21,97m,org.apache.spark.serializer.JavaSerializer,101k,0.41,473,0.37,88m,0.23
ScalaSparkNWeight,2023-04-20,09:05:35,199713981,185.934,1074112,537056,124m,14,1,16g,8,2,16g,lzf,85k,120k,94k,32m,0.3,0.37,56m,org.apache.spark.serializer.JavaSerializer,69k,0.54,357,0.89,356m,0.87
ScalaSparkNWeight,2023-04-20,09:16:43,199713981,133.423,1496848,748424,36m,11,1,16g,4,4,8g,snappy,112k,83k,39k,9m,0.39,0.64,70m,org.apache.spark.serializer.KryoSerializer,11k,0.43,167,0.19,203m,0.23
ScalaSparkNWeight,2023-04-20,09:28:04,199713981,119.249,1674764,837382,14m,13,1,16g,2,8,4g,lz4,79k,116k,72k,71m,0.6,0.84,57m,org.apache.spark.serializer.KryoSerializer,123k,0.38,697,0.54,83m,0.9
ScalaSparkNWeight,2023-04-20,09:43:39,199713981,260.76,765891,382945,123m,5,1,16g,8,2,16g,lzf,35k,100k,7k,78m,0.22,0.83,64m,org.apache.spark.serializer.JavaSerializer,93k,0.57,309,0.54,409m,0.23
ScalaSparkNWeight,2023-04-20,09:54:50,199713981,134.396,1486011,743005,85m,12,1,16g,8,2,16g,lzf,45k,95k,80k,22m,0.8,0.2,22m,org.apache.spark.serializer.JavaSerializer,24k,0.23,240,0.53,95m,0.82
ScalaSparkNWeight,2023-04-20,10:05:05,199713981,115.747,1725435,862717,68m,8,1,16g,8,2,16g,lz4,83k,117k,61k,56m,0.62,0.51,90m,org.apache.spark.serializer.JavaSerializer,8k,0.62,192,0.15,253m,0.79
ScalaSparkNWeight,2023-04-20,10:15:50,199713981,117.814,1695163,847581,29m,12,1,16g,2,8,4g,snappy,71k,67k,96k,49m,0.58,0.48,68m,org.apache.spark.serializer.JavaSerializer,23k,0.71,643,0.19,192m,0.62
ScalaSparkNWeight,2023-04-20,10:31:07,199713981,249.989,798891,399445,81m,2,1,16g,8,2,16g,lz4,102k,40k,37k,48m,0.24,0.89,115m,org.apache.spark.serializer.KryoSerializer,64k,0.82,283,0.74,153m,0.44
ScalaSparkNWeight,2023-04-20,10:42:08,199713981,123.299,1619753,809876,50m,3,1,16g,8,2,16g,lzf,46k,30k,123k,100m,0.72,0.43,25m,org.apache.spark.serializer.JavaSerializer,111k,0.31,698,0.9,486m,0.11
ScalaSparkNWeight,2023-04-20,10:55:07,199713981,160.782,1242141,621070,25m,14,1,16g,2,8,4g,lz4,17k,34k,84k,115m,0.33,0.27,34m,org.apache.spark.serializer.KryoSerializer,76k,0.67,501,0.48,474m,0.88
ScalaSparkNWeight,2023-04-20,11:06:32,199713981,133.626,1494574,747287,83m,5,1,16g,2,8,4g,lz4,81k,89k,15k,35m,0.67,0.56,40m,org.apache.spark.serializer.KryoSerializer,98k,0.27,293,0.71,112m,0.19
ScalaSparkNWeight,2023-04-20,11:22:02,199713981,247.467,807032,403516,79m,5,1,16g,8,2,16g,lzf,111k,2k,128k,111m,0.21,0.59,73m,org.apache.spark.serializer.KryoSerializer,7k,0.56,118,0.59,152m,0.47
ScalaSparkNWeight,2023-04-20,11:33:21,199713981,116.984,1707190,853595,74m,11,1,16g,8,2,16g,snappy,88k,100k,126k,31m,0.47,0.43,79m,org.apache.spark.serializer.JavaSerializer,25k,0.83,62,0.58,187m,0.58
ScalaSparkNWeight,2023-04-20,11:47:04,199713981,214.624,930529,465264,83m,13,1,16g,8,2,16g,snappy,106k,15k,79k,95m,0.28,0.61,78m,org.apache.spark.serializer.JavaSerializer,98k,0.85,569,0.62,326m,0.64
ScalaSparkNWeight,2023-04-20,11:57:42,199713981,114.534,1743709,871854,117m,11,1,16g,4,4,8g,lz4,29k,53k,118k,25m,0.71,0.12,62m,org.apache.spark.serializer.JavaSerializer,94k,0.9,399,0.86,290m,0.49
ScalaSparkNWeight,2023-04-20,12:08:44,199713981,133.484,1496164,748082,16m,7,1,16g,2,8,4g,lzf,82k,51k,26k,77m,0.47,0.35,29m,org.apache.spark.serializer.KryoSerializer,21k,0.55,180,0.21,288m,0.28
ScalaSparkNWeight,2023-04-20,12:20:27,199713981,129.834,1538225,769112,29m,4,1,16g,2,8,4g,lzf,94k,60k,72k,11m,0.48,0.68,61m,org.apache.spark.serializer.KryoSerializer,38k,0.3,645,0.63,169m,0.58
ScalaSparkNWeight,2023-04-20,12:34:08,199713981,172.711,1156347,578173,100m,14,1,16g,4,4,8g,lz4,114k,3k,128k,27m,0.28,0.39,109m,org.apache.spark.serializer.JavaSerializer,31k,0.25,775,0.52,284m,0.68
ScalaSparkNWeight,2023-04-20,12:44:36,199713981,120.694,1654713,827356,29m,10,1,16g,4,4,8g,lz4,114k,115k,78k,93m,0.43,0.77,68m,org.apache.spark.serializer.KryoSerializer,107k,0.86,512,0.17,20m,0.5
ScalaSparkNWeight,2023-04-20,12:58:04,199713981,203.614,980846,490423,24m,11,1,16g,8,2,16g,lz4,51k,27k,91k,69m,0.28,0.87,96m,org.apache.spark.serializer.JavaSerializer,117k,0.47,737,0.52,464m,0.26
ScalaSparkNWeight,2023-04-20,13:08:47,199713981,127.092,1571412,785706,122m,4,1,16g,8,2,16g,lz4,111k,68k,39k,72m,0.75,0.6,9m,org.apache.spark.serializer.JavaSerializer,35k,0.24,420,0.36,48m,0.18
ScalaSparkNWeight,2023-04-20,13:19:37,199713981,119.637,1669332,834666,48m,16,1,16g,8,2,16g,lzf,66k,117k,118k,95m,0.89,0.25,56m,org.apache.spark.serializer.JavaSerializer,17k,0.2,255,0.17,494m,0.27
ScalaSparkNWeight,2023-04-20,13:33:23,199713981,217.775,917065,458532,71m,8,1,16g,8,2,16g,lzf,43k,66k,127k,31m,0.27,0.81,31m,org.apache.spark.serializer.KryoSerializer,119k,0.51,766,0.11,121m,0.58
ScalaSparkNWeight,2023-04-20,13:45:01,199713981,121.227,1647438,823719,46m,15,1,16g,2,8,4g,snappy,66k,60k,54k,117m,0.75,0.73,27m,org.apache.spark.serializer.JavaSerializer,41k,0.64,81,0.37,227m,0.64
ScalaSparkNWeight,2023-04-20,13:56:02,199713981,122.233,1633879,816939,106m,12,1,16g,4,4,8g,lzf,51k,124k,67k,52m,0.52,0.66,67m,org.apache.spark.serializer.JavaSerializer,128k,0.54,483,0.84,253m,0.35
ScalaSparkNWeight,2023-04-20,14:06:59,199713981,166.225,1201467,600733,71m,11,1,16g,8,2,16g,lzf,81k,17k,96k,95m,0.35,0.45,103m,org.apache.spark.serializer.JavaSerializer,45k,0.44,718,0.63,173m,0.25
ScalaSparkNWeight,2023-04-20,14:17:55,199713981,121.392,1645198,822599,122m,2,1,16g,4,4,8g,lzf,97k,103k,102k,81m,0.43,0.45,103m,org.apache.spark.serializer.KryoSerializer,16k,0.74,425,0.26,420m,0.35
ScalaSparkNWeight,2023-04-20,14:29:48,199713981,128.772,1550911,775455,103m,13,1,16g,2,8,4g,snappy,75k,21k,56k,29m,0.45,0.23,127m,org.apache.spark.serializer.JavaSerializer,69k,0.77,345,0.88,377m,0.7
ScalaSparkNWeight,2023-04-20,14:41:02,199713981,130.262,1533171,766585,89m,8,1,16g,2,8,4g,lzf,65k,31k,114k,45m,0.68,0.62,64m,org.apache.spark.serializer.KryoSerializer,61k,0.85,770,0.54,111m,0.7
ScalaSparkNWeight,2023-04-20,14:55:44,199713981,198.816,1004516,502258,24m,7,1,16g,2,8,4g,lzf,32k,120k,51k,52m,0.29,0.12,64m,org.apache.spark.serializer.JavaSerializer,45k,0.75,685,0.81,179m,0.58
ScalaSparkNWeight,2023-04-20,15:06:47,199713981,120.92,1651620,825810,114m,15,1,16g,4,4,8g,lz4,81k,8k,37k,38m,0.66,0.88,52m,org.apache.spark.serializer.KryoSerializer,32k,0.13,135,0.5,237m,0.84
ScalaSparkNWeight,2023-04-20,15:23:51,199713981,247.868,805727,402863,13m,5,1,16g,8,2,16g,lzf,87k,63k,118k,93m,0.13,0.19,54m,org.apache.spark.serializer.JavaSerializer,65k,0.39,798,0.23,253m,0.58
ScalaSparkNWeight,2023-04-20,15:35:20,199713981,119.339,1673501,836750,44m,7,1,16g,8,2,16g,lzf,118k,80k,89k,72m,0.7,0.69,127m,org.apache.spark.serializer.KryoSerializer,127k,0.7,783,0.17,193m,0.85
ScalaSparkNWeight,2023-04-20,15:46:31,199713981,132.469,1507628,753814,31m,11,1,16g,8,2,16g,lzf,69k,71k,108k,24m,0.62,0.15,63m,org.apache.spark.serializer.JavaSerializer,118k,0.61,694,0.4,213m,0.26
ScalaSparkNWeight,2023-04-20,15:57:11,199713981,133.682,1493948,746974,115m,14,1,16g,8,2,16g,lz4,61k,109k,25k,79m,0.48,0.12,16m,org.apache.spark.serializer.KryoSerializer,13k,0.73,445,0.68,212m,0.11
ScalaSparkNWeight,2023-04-20,16:07:59,199713981,118.44,1686203,843101,48m,15,1,16g,2,8,4g,snappy,72k,127k,44k,127m,0.88,0.47,113m,org.apache.spark.serializer.JavaSerializer,37k,0.69,373,0.52,413m,0.32
ScalaSparkNWeight,2023-04-20,16:18:45,199713981,126.512,1578616,789308,40m,11,1,16g,4,4,8g,lz4,12k,68k,46k,16m,0.41,0.88,83m,org.apache.spark.serializer.KryoSerializer,69k,0.17,54,0.67,450m,0.42
