Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-05,09:00:07,9854686098,66.226,148803885,74401942,107m,13,1,9g,2,8,4g,snappy,71k,85k,111k,126m,0.49,0.84,38m,org.apache.spark.serializer.JavaSerializer,28k,0.44,112,0.77,104m,0.57
ScalaSparkWordcount,2023-04-05,09:08:04,9854686098,96.454,102169802,51084901,43m,6,5,14g,2,8,4g,lzf,34k,88k,8k,77m,0.86,0.49,62m,org.apache.spark.serializer.JavaSerializer,112k,0.87,412,0.25,355m,0.81
ScalaSparkWordcount,2023-04-05,09:16:23,9854686098,87.701,112366861,56183430,79m,2,6,13g,4,4,8g,lz4,119k,38k,21k,55m,0.84,0.39,22m,org.apache.spark.serializer.KryoSerializer,14k,0.59,429,0.61,200m,0.34
ScalaSparkWordcount,2023-04-05,09:26:28,9854686098,78.354,125771321,62885660,114m,11,8,14g,4,4,8g,snappy,56k,65k,12k,53m,0.5,0.64,60m,org.apache.spark.serializer.KryoSerializer,97k,0.29,713,0.2,364m,0.85
ScalaSparkWordcount,2023-04-05,09:34:18,9854686098,87.929,112075493,56037746,86m,13,6,10g,2,8,4g,lz4,39k,96k,63k,52m,0.61,0.86,63m,org.apache.spark.serializer.JavaSerializer,59k,0.14,730,0.1,335m,0.44
ScalaSparkWordcount,2023-04-05,09:42:19,9854686098,75.689,130199713,65099856,67m,6,5,9g,4,4,8g,lzf,73k,104k,7k,8m,0.4,0.61,26m,org.apache.spark.serializer.KryoSerializer,123k,0.54,343,0.68,361m,0.77
ScalaSparkWordcount,2023-04-05,09:50:12,9854686098,82.344,119677038,59838519,44m,15,1,8g,4,4,8g,lz4,124k,126k,105k,94m,0.67,0.85,14m,org.apache.spark.serializer.KryoSerializer,35k,0.3,488,0.12,438m,0.44
ScalaSparkWordcount,2023-04-05,09:57:53,9854686098,79.284,124296025,62148012,89m,13,4,14g,4,4,8g,lzf,42k,27k,40k,33m,0.26,0.74,119m,org.apache.spark.serializer.JavaSerializer,60k,0.65,486,0.86,338m,0.89
ScalaSparkWordcount,2023-04-05,10:05:42,9854686098,78.832,125008703,62504351,126m,2,3,9g,8,2,16g,snappy,25k,85k,81k,9m,0.83,0.59,24m,org.apache.spark.serializer.JavaSerializer,29k,0.35,635,0.71,293m,0.7
ScalaSparkWordcount,2023-04-05,10:13:52,9854686098,79.566,123855492,61927746,73m,9,5,4g,4,4,8g,lz4,38k,80k,65k,94m,0.1,0.87,46m,org.apache.spark.serializer.JavaSerializer,117k,0.37,552,0.15,25m,0.29
