Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-05,09:06:22,163189361,99.781,1635475,817737,107m,13,1,9g,2,8,4g,snappy,71k,85k,111k,126m,0.49,0.84,38m,org.apache.spark.serializer.JavaSerializer,28k,0.44,112,0.77,104m,0.57
ScalaSparkNWeight,2023-04-05,09:14:50,163189361,105.398,1548315,774157,43m,6,5,14g,2,8,4g,lzf,34k,88k,8k,77m,0.86,0.49,62m,org.apache.spark.serializer.JavaSerializer,112k,0.87,412,0.25,355m,0.81
ScalaSparkNWeight,2023-04-05,09:23:00,163189361,97.957,1665928,832964,79m,2,6,13g,4,4,8g,lz4,119k,38k,21k,55m,0.84,0.39,22m,org.apache.spark.serializer.KryoSerializer,14k,0.59,429,0.61,200m,0.34
ScalaSparkNWeight,2023-04-05,09:32:45,163189361,99.057,1647428,823714,114m,11,8,14g,4,4,8g,snappy,56k,65k,12k,53m,0.5,0.64,60m,org.apache.spark.serializer.KryoSerializer,97k,0.29,713,0.2,364m,0.85
ScalaSparkNWeight,2023-04-05,09:40:58,163189361,104.593,1560232,780116,86m,13,6,10g,2,8,4g,lz4,39k,96k,63k,52m,0.61,0.86,63m,org.apache.spark.serializer.JavaSerializer,59k,0.14,730,0.1,335m,0.44
ScalaSparkNWeight,2023-04-05,09:48:44,163189361,99.963,1632497,816248,67m,6,5,9g,4,4,8g,lzf,73k,104k,7k,8m,0.4,0.61,26m,org.apache.spark.serializer.KryoSerializer,123k,0.54,343,0.68,361m,0.77
ScalaSparkNWeight,2023-04-05,09:56:28,163189361,94.691,1723388,861694,44m,15,1,8g,4,4,8g,lz4,124k,126k,105k,94m,0.67,0.85,14m,org.apache.spark.serializer.KryoSerializer,35k,0.3,488,0.12,438m,0.44
ScalaSparkNWeight,2023-04-05,10:04:17,163189361,115.773,1409563,704781,89m,13,4,14g,4,4,8g,lzf,42k,27k,40k,33m,0.26,0.74,119m,org.apache.spark.serializer.JavaSerializer,60k,0.65,486,0.86,338m,0.89
ScalaSparkNWeight,2023-04-05,10:12:27,163189361,103.69,1573819,786909,126m,2,3,9g,8,2,16g,snappy,25k,85k,81k,9m,0.83,0.59,24m,org.apache.spark.serializer.JavaSerializer,29k,0.35,635,0.71,293m,0.7
ScalaSparkNWeight,2023-04-05,10:24:45,163189361,224.937,725489,362744,73m,9,5,4g,4,4,8g,lz4,38k,80k,65k,94m,0.1,0.87,46m,org.apache.spark.serializer.JavaSerializer,117k,0.37,552,0.15,25m,0.29
ScalaSparkNWeight,2023-04-05,10:33:19,163189361,103.592,1575308,787654,33m,7,7,12g,2,8,4g,lz4,17k,56k,67k,87m,0.76,0.72,11m,org.apache.spark.serializer.KryoSerializer,96k,0.51,581,0.58,496m,0.87
ScalaSparkNWeight,2023-04-05,10:41:29,163189361,116.217,1404178,702089,83m,15,7,4g,8,2,16g,snappy,14k,117k,104k,42m,0.29,0.66,11m,org.apache.spark.serializer.KryoSerializer,90k,0.43,571,0.61,358m,0.33
ScalaSparkNWeight,2023-04-05,10:48:57,163189361,95.863,1702318,851159,10m,5,8,5g,4,4,8g,snappy,43k,89k,11k,4m,0.39,0.88,55m,org.apache.spark.serializer.JavaSerializer,62k,0.68,428,0.89,98m,0.13
ScalaSparkNWeight,2023-04-05,10:57:01,163189361,102.807,1587337,793668,66m,5,3,12g,2,8,4g,lz4,59k,50k,49k,23m,0.42,0.78,74m,org.apache.spark.serializer.KryoSerializer,113k,0.15,711,0.72,214m,0.65
ScalaSparkNWeight,2023-04-05,11:05:09,163189361,99.336,1642801,821400,30m,10,2,4g,8,2,16g,lzf,30k,111k,96k,112m,0.77,0.56,68m,org.apache.spark.serializer.KryoSerializer,79k,0.82,152,0.68,209m,0.39
ScalaSparkNWeight,2023-04-05,11:14:53,163189361,146.667,1112652,556326,95m,4,1,10g,4,4,8g,snappy,72k,113k,26k,95m,0.14,0.57,104m,org.apache.spark.serializer.JavaSerializer,36k,0.37,294,0.16,227m,0.69
ScalaSparkNWeight,2023-04-05,11:23:29,163189361,122.956,1327217,663608,32m,11,7,13g,2,8,4g,lz4,31k,48k,2k,36m,0.25,0.17,52m,org.apache.spark.serializer.KryoSerializer,117k,0.47,293,0.57,307m,0.71
ScalaSparkNWeight,2023-04-05,11:32:06,163189361,110.85,1472163,736081,94m,14,4,9g,2,8,4g,lzf,45k,86k,35k,125m,0.39,0.79,56m,org.apache.spark.serializer.KryoSerializer,124k,0.77,264,0.78,441m,0.55
ScalaSparkNWeight,2023-04-05,11:39:29,163189361,99.552,1639237,819618,81m,6,7,4g,8,2,16g,lzf,5k,47k,115k,73m,0.64,0.89,112m,org.apache.spark.serializer.JavaSerializer,60k,0.32,142,0.45,163m,0.85
ScalaSparkNWeight,2023-04-05,11:47:16,163189361,98.979,1648727,824363,96m,15,6,11g,8,2,16g,snappy,88k,108k,22k,61m,0.54,0.35,36m,org.apache.spark.serializer.KryoSerializer,45k,0.67,137,0.73,279m,0.68
ScalaSparkNWeight,2023-04-05,11:56:04,163189361,144.775,1127192,563596,63m,11,3,4g,4,4,8g,lz4,115k,57k,4k,111m,0.16,0.66,127m,org.apache.spark.serializer.KryoSerializer,105k,0.25,522,0.9,494m,0.48
ScalaSparkNWeight,2023-04-05,12:04:02,163189361,103.929,1570200,785100,56m,16,1,8g,2,8,4g,lz4,121k,68k,5k,30m,0.83,0.1,85m,org.apache.spark.serializer.KryoSerializer,71k,0.8,473,0.86,293m,0.66
ScalaSparkNWeight,2023-04-05,12:12:57,163189361,103.343,1579104,789552,19m,2,3,7g,2,8,4g,lz4,95k,70k,97k,45m,0.84,0.24,44m,org.apache.spark.serializer.JavaSerializer,124k,0.21,679,0.43,255m,0.38
ScalaSparkNWeight,2023-04-05,12:20:43,163189361,104.739,1558057,779028,56m,15,6,8g,4,4,8g,snappy,29k,77k,63k,42m,0.71,0.65,2m,org.apache.spark.serializer.JavaSerializer,36k,0.19,739,0.19,174m,0.12
ScalaSparkNWeight,2023-04-05,12:29:10,163189361,104.179,1566432,783216,79m,13,4,10g,2,8,4g,snappy,68k,60k,17k,99m,0.55,0.77,55m,org.apache.spark.serializer.KryoSerializer,117k,0.19,535,0.58,207m,0.14
ScalaSparkNWeight,2023-04-05,12:37:25,163189361,106.048,1538825,769412,116m,5,7,14g,2,8,4g,lz4,57k,42k,79k,98m,0.59,0.78,118m,org.apache.spark.serializer.KryoSerializer,113k,0.74,645,0.61,372m,0.21
ScalaSparkNWeight,2023-04-05,12:46:17,163189361,109.791,1486363,743181,76m,4,6,13g,2,8,4g,lzf,8k,97k,42k,70m,0.42,0.46,78m,org.apache.spark.serializer.KryoSerializer,116k,0.38,330,0.38,132m,0.23
