Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-05,09:01:30,3200000000,77.807,41127404,20563702,107m,13,1,9g,2,8,4g,snappy,71k,85k,111k,126m,0.49,0.84,38m,org.apache.spark.serializer.JavaSerializer,28k,0.44,112,0.77,104m,0.57
ScalaSparkTerasort,2023-04-05,09:09:31,3200000000,82.34,38863249,19431624,43m,6,5,14g,2,8,4g,lzf,34k,88k,8k,77m,0.86,0.49,62m,org.apache.spark.serializer.JavaSerializer,112k,0.87,412,0.25,355m,0.81
ScalaSparkTerasort,2023-04-05,09:17:42,3200000000,74.36,43033889,21516944,79m,2,6,13g,4,4,8g,lz4,119k,38k,21k,55m,0.84,0.39,22m,org.apache.spark.serializer.KryoSerializer,14k,0.59,429,0.61,200m,0.34
ScalaSparkTerasort,2023-04-05,09:27:43,3200000000,70.482,45401662,22700831,114m,11,8,14g,4,4,8g,snappy,56k,65k,12k,53m,0.5,0.64,60m,org.apache.spark.serializer.KryoSerializer,97k,0.29,713,0.2,364m,0.85
ScalaSparkTerasort,2023-04-05,09:35:49,3200000000,85.678,37349144,18674572,86m,13,6,10g,2,8,4g,lz4,39k,96k,63k,52m,0.61,0.86,63m,org.apache.spark.serializer.JavaSerializer,59k,0.14,730,0.1,335m,0.44
ScalaSparkTerasort,2023-04-05,09:43:37,3200000000,73.126,43760085,21880042,67m,6,5,9g,4,4,8g,lzf,73k,104k,7k,8m,0.4,0.61,26m,org.apache.spark.serializer.KryoSerializer,123k,0.54,343,0.68,361m,0.77
ScalaSparkTerasort,2023-04-05,09:51:46,3200000000,89.29,35838279,17919139,44m,15,1,8g,4,4,8g,lz4,124k,126k,105k,94m,0.67,0.85,14m,org.apache.spark.serializer.KryoSerializer,35k,0.3,488,0.12,438m,0.44
ScalaSparkTerasort,2023-04-05,09:59:07,3200000000,69.071,46329139,23164569,89m,13,4,14g,4,4,8g,lzf,42k,27k,40k,33m,0.26,0.74,119m,org.apache.spark.serializer.JavaSerializer,60k,0.65,486,0.86,338m,0.89
ScalaSparkTerasort,2023-04-05,10:07:06,3200000000,80.049,39975514,19987757,126m,2,3,9g,8,2,16g,snappy,25k,85k,81k,9m,0.83,0.59,24m,org.apache.spark.serializer.JavaSerializer,29k,0.35,635,0.71,293m,0.7
ScalaSparkTerasort,2023-04-05,10:15:18,3200000000,81.352,39335234,19667617,73m,9,5,4g,4,4,8g,lz4,38k,80k,65k,94m,0.1,0.87,46m,org.apache.spark.serializer.JavaSerializer,117k,0.37,552,0.15,25m,0.29
ScalaSparkTerasort,2023-04-05,10:27:59,3200000000,86.634,36936999,18468499,33m,7,7,12g,2,8,4g,lz4,17k,56k,67k,87m,0.76,0.72,11m,org.apache.spark.serializer.KryoSerializer,96k,0.51,581,0.58,496m,0.87
ScalaSparkTerasort,2023-04-05,10:36:07,3200000000,74.974,42681462,21340731,83m,15,7,4g,8,2,16g,snappy,14k,117k,104k,42m,0.29,0.66,11m,org.apache.spark.serializer.KryoSerializer,90k,0.43,571,0.61,358m,0.33
