Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-17,07:41:42,8032739902,127.91,62799936,31399968,118m,9,1,16g,4,4,8g,lzf,52k,20k,123k,68m,0.34,0.85,95m,org.apache.spark.serializer.JavaSerializer,63k,0.51,71,0.84,301m,0.78
ScalaSparkKmeans,2023-04-17,08:00:13,8032739902,357.528,22467442,11233721,17m,16,1,16g,2,8,4g,lzf,34k,25k,29k,30m,0.18,0.17,24m,org.apache.spark.serializer.KryoSerializer,65k,0.32,297,0.76,429m,0.39
ScalaSparkKmeans,2023-04-17,08:37:06,8032739902,229.346,35024547,17512273,94m,4,1,16g,4,4,8g,lz4,93k,12k,33k,122m,0.28,0.5,100m,org.apache.spark.serializer.JavaSerializer,54k,0.49,151,0.22,188m,0.3
ScalaSparkKmeans,2023-04-17,08:52:24,8032739902,139.683,57506925,28753462,44m,10,1,16g,2,8,4g,lzf,11k,17k,89k,31m,0.59,0.34,69m,org.apache.spark.serializer.KryoSerializer,25k,0.51,665,0.62,36m,0.54
ScalaSparkKmeans,2023-04-17,09:06:39,8032739902,121.665,66023424,33011712,126m,11,1,16g,8,2,16g,lz4,52k,66k,51k,82m,0.78,0.33,35m,org.apache.spark.serializer.JavaSerializer,20k,0.21,135,0.9,335m,0.37
ScalaSparkKmeans,2023-04-17,09:20:54,8032739902,144.525,55580279,27790139,66m,12,1,16g,4,4,8g,snappy,36k,2k,36k,93m,0.32,0.85,124m,org.apache.spark.serializer.KryoSerializer,45k,0.53,496,0.21,483m,0.71
ScalaSparkKmeans,2023-04-17,09:39:16,8032739902,313.838,25595179,12797589,112m,6,1,16g,8,2,16g,lzf,124k,17k,43k,109m,0.19,0.66,108m,org.apache.spark.serializer.KryoSerializer,24k,0.63,63,0.74,439m,0.39
ScalaSparkKmeans,2023-04-17,09:58:21,8032739902,123.872,64847099,32423549,57m,5,1,16g,8,2,16g,snappy,96k,126k,43k,124m,0.69,0.36,83m,org.apache.spark.serializer.KryoSerializer,98k,0.38,523,0.33,112m,0.84
ScalaSparkKmeans,2023-04-17,10:13:05,8032739902,126.709,63395180,31697590,103m,16,1,16g,4,4,8g,lzf,71k,118k,109k,106m,0.82,0.37,27m,org.apache.spark.serializer.JavaSerializer,63k,0.64,309,0.69,383m,0.38
ScalaSparkKmeans,2023-04-17,10:27:05,8032739902,139.711,57495400,28747700,13m,10,1,16g,2,8,4g,snappy,16k,102k,14k,127m,0.65,0.53,22m,org.apache.spark.serializer.KryoSerializer,45k,0.54,156,0.46,306m,0.48
ScalaSparkKmeans,2023-04-17,10:43:12,8032739902,237.173,33868694,16934347,49m,7,1,16g,8,2,16g,lzf,60k,99k,118k,110m,0.23,0.32,37m,org.apache.spark.serializer.KryoSerializer,40k,0.17,563,0.87,384m,0.37
ScalaSparkKmeans,2023-04-17,11:01:00,8032739902,129.286,62131552,31065776,90m,16,1,16g,8,2,16g,lzf,45k,61k,41k,104m,0.49,0.25,90m,org.apache.spark.serializer.JavaSerializer,100k,0.41,589,0.57,446m,0.49
ScalaSparkKmeans,2023-04-17,11:15:00,8032739902,126.144,63679127,31839563,125m,14,1,16g,4,4,8g,lzf,117k,69k,126k,90m,0.61,0.44,27m,org.apache.spark.serializer.JavaSerializer,61k,0.49,457,0.89,122m,0.73
ScalaSparkKmeans,2023-04-17,11:28:50,8032739902,141.757,56665560,28332780,127m,15,1,16g,8,2,16g,lzf,86k,122k,30k,13m,0.47,0.64,36m,org.apache.spark.serializer.JavaSerializer,32k,0.51,77,0.22,449m,0.89
ScalaSparkKmeans,2023-04-17,11:43:18,8032739902,141.956,56586124,28293062,102m,12,1,16g,2,8,4g,lz4,108k,125k,71k,36m,0.66,0.36,3m,org.apache.spark.serializer.JavaSerializer,80k,0.26,255,0.84,171m,0.38
ScalaSparkKmeans,2023-04-17,11:57:17,8032739902,139.068,57761238,28880619,21m,2,1,16g,8,2,16g,lzf,116k,71k,95k,11m,0.32,0.2,37m,org.apache.spark.serializer.KryoSerializer,94k,0.17,319,0.24,207m,0.76
