Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-17,07:50:43,6400000000,169.798,37691845,18845922,118m,9,1,16g,4,4,8g,lzf,52k,20k,123k,68m,0.34,0.85,95m,org.apache.spark.serializer.JavaSerializer,63k,0.51,71,0.84,301m,0.78
ScalaSparkTerasort,2023-04-17,08:29:38,6400000000,163.855,39058924,19529462,17m,16,1,16g,2,8,4g,lzf,34k,25k,29k,30m,0.18,0.17,24m,org.apache.spark.serializer.KryoSerializer,65k,0.32,297,0.76,429m,0.39
ScalaSparkTerasort,2023-04-17,08:46:35,6400000000,153.367,41729967,20864983,94m,4,1,16g,4,4,8g,lz4,93k,12k,33k,122m,0.28,0.5,100m,org.apache.spark.serializer.JavaSerializer,54k,0.49,151,0.22,188m,0.3
ScalaSparkTerasort,2023-04-17,09:00:57,6400000000,165.776,38606312,19303156,44m,10,1,16g,2,8,4g,lzf,11k,17k,89k,31m,0.59,0.34,69m,org.apache.spark.serializer.KryoSerializer,25k,0.51,665,0.62,36m,0.54
ScalaSparkTerasort,2023-04-17,09:15:05,6400000000,182.086,35148226,17574113,126m,11,1,16g,8,2,16g,lz4,52k,66k,51k,82m,0.78,0.33,35m,org.apache.spark.serializer.JavaSerializer,20k,0.21,135,0.9,335m,0.37
ScalaSparkTerasort,2023-04-17,09:30:31,6400000000,159.478,40130927,20065463,66m,12,1,16g,4,4,8g,snappy,36k,2k,36k,93m,0.32,0.85,124m,org.apache.spark.serializer.KryoSerializer,45k,0.53,496,0.21,483m,0.71
ScalaSparkTerasort,2023-04-17,09:52:44,6400000000,159.981,40004750,20002375,112m,6,1,16g,8,2,16g,lzf,124k,17k,43k,109m,0.19,0.66,108m,org.apache.spark.serializer.KryoSerializer,24k,0.63,63,0.74,439m,0.39
ScalaSparkTerasort,2023-04-17,10:07:31,6400000000,184.26,34733528,17366764,57m,5,1,16g,8,2,16g,snappy,96k,126k,43k,124m,0.69,0.36,83m,org.apache.spark.serializer.KryoSerializer,98k,0.38,523,0.33,112m,0.84
ScalaSparkTerasort,2023-04-17,10:21:15,6400000000,169.546,37747867,18873933,103m,16,1,16g,4,4,8g,lzf,71k,118k,109k,106m,0.82,0.37,27m,org.apache.spark.serializer.JavaSerializer,63k,0.64,309,0.69,383m,0.38
ScalaSparkTerasort,2023-04-17,10:35:35,6400000000,164.797,38835658,19417829,13m,10,1,16g,2,8,4g,snappy,16k,102k,14k,127m,0.65,0.53,22m,org.apache.spark.serializer.KryoSerializer,45k,0.54,156,0.46,306m,0.48
ScalaSparkTerasort,2023-04-17,10:55:23,6400000000,160.283,39929374,19964687,49m,7,1,16g,8,2,16g,lzf,60k,99k,118k,110m,0.23,0.32,37m,org.apache.spark.serializer.KryoSerializer,40k,0.17,563,0.87,384m,0.37
