Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-17,07:45:06,236121957,198.767,1187933,593966,118m,9,1,16g,4,4,8g,lzf,52k,20k,123k,68m,0.34,0.85,95m,org.apache.spark.serializer.JavaSerializer,63k,0.51,71,0.84,301m,0.78
ScalaSparkNWeight,2023-04-17,08:40:55,236121957,224.073,1053772,526886,94m,4,1,16g,4,4,8g,lz4,93k,12k,33k,122m,0.28,0.5,100m,org.apache.spark.serializer.JavaSerializer,54k,0.49,151,0.22,188m,0.3
ScalaSparkNWeight,2023-04-17,08:54:55,236121957,146.607,1610577,805288,44m,10,1,16g,2,8,4g,lzf,11k,17k,89k,31m,0.59,0.34,69m,org.apache.spark.serializer.KryoSerializer,25k,0.51,665,0.62,36m,0.54
ScalaSparkNWeight,2023-04-17,09:08:57,236121957,133.422,1769737,884868,126m,11,1,16g,8,2,16g,lz4,52k,66k,51k,82m,0.78,0.33,35m,org.apache.spark.serializer.JavaSerializer,20k,0.21,135,0.9,335m,0.37
ScalaSparkNWeight,2023-04-17,09:24:29,236121957,209.856,1125161,562580,66m,12,1,16g,4,4,8g,snappy,36k,2k,36k,93m,0.32,0.85,124m,org.apache.spark.serializer.KryoSerializer,45k,0.53,496,0.21,483m,0.71
ScalaSparkNWeight,2023-04-17,09:44:08,236121957,285.254,827760,413880,112m,6,1,16g,8,2,16g,lzf,124k,17k,43k,109m,0.19,0.66,108m,org.apache.spark.serializer.KryoSerializer,24k,0.63,63,0.74,439m,0.39
ScalaSparkNWeight,2023-04-17,10:00:47,236121957,140.007,1686501,843250,57m,5,1,16g,8,2,16g,snappy,96k,126k,43k,124m,0.69,0.36,83m,org.apache.spark.serializer.KryoSerializer,98k,0.38,523,0.33,112m,0.84
ScalaSparkNWeight,2023-04-17,10:15:37,236121957,147.917,1596313,798156,103m,16,1,16g,4,4,8g,lzf,71k,118k,109k,106m,0.82,0.37,27m,org.apache.spark.serializer.JavaSerializer,63k,0.64,309,0.69,383m,0.38
ScalaSparkNWeight,2023-04-17,10:29:26,236121957,136.581,1728805,864402,13m,10,1,16g,2,8,4g,snappy,16k,102k,14k,127m,0.65,0.53,22m,org.apache.spark.serializer.KryoSerializer,45k,0.54,156,0.46,306m,0.48
ScalaSparkNWeight,2023-04-17,10:48:06,236121957,289.652,815191,407595,49m,7,1,16g,8,2,16g,lzf,60k,99k,118k,110m,0.23,0.32,37m,org.apache.spark.serializer.KryoSerializer,40k,0.17,563,0.87,384m,0.37
ScalaSparkNWeight,2023-04-17,11:03:24,236121957,139.287,1695218,847609,90m,16,1,16g,8,2,16g,lzf,45k,61k,41k,104m,0.49,0.25,90m,org.apache.spark.serializer.JavaSerializer,100k,0.41,589,0.57,446m,0.49
ScalaSparkNWeight,2023-04-17,11:17:26,236121957,141.561,1667987,833993,125m,14,1,16g,4,4,8g,lzf,117k,69k,126k,90m,0.61,0.44,27m,org.apache.spark.serializer.JavaSerializer,61k,0.49,457,0.89,122m,0.73
ScalaSparkNWeight,2023-04-17,11:31:27,236121957,152.663,1546687,773343,127m,15,1,16g,8,2,16g,lzf,86k,122k,30k,13m,0.47,0.64,36m,org.apache.spark.serializer.JavaSerializer,32k,0.51,77,0.22,449m,0.89
ScalaSparkNWeight,2023-04-17,11:45:41,236121957,138.246,1707984,853992,102m,12,1,16g,2,8,4g,lz4,108k,125k,71k,36m,0.66,0.36,3m,org.apache.spark.serializer.JavaSerializer,80k,0.26,255,0.84,171m,0.38
ScalaSparkNWeight,2023-04-17,12:01:48,236121957,266.833,884905,442452,21m,2,1,16g,8,2,16g,lzf,116k,71k,95k,11m,0.32,0.2,37m,org.apache.spark.serializer.KryoSerializer,94k,0.17,319,0.24,207m,0.76
